sample_id,id,storage_condition,reactor,filtered,RNase_treated,time_point,dilution_factor,target,task,CT,plate_id,Exp_loc,experiment,experiment_manuscript_label
15A6F-N-T1-1x,15A6F,15,A6,F,N,T1,1,MK5,UNKNOWN,24.22872,P1004,CDC_collab,2,15-2
15A6F-N-T1-1x,15A6F,15,A6,F,N,T1,1,MK7,UNKNOWN,23.53632,P1004,CDC_collab,2,15-2
15A6F-N-T1-1x,15A6F,15,A6,F,N,T1,1,MK7,UNKNOWN,23.47293,P1004,CDC_collab,2,15-2
15A6F-N-T3-1x,15A6F,15,A6,F,N,T3,1,MK5,UNKNOWN,24.99556,P1004,CDC_collab,2,15-2
15A6F-N-T3-1x,15A6F,15,A6,F,N,T3,1,MK5,UNKNOWN,25.14672,P1004,CDC_collab,2,15-2
15A6F-N-T3-1x,15A6F,15,A6,F,N,T3,1,MK7,UNKNOWN,24.53788,P1004,CDC_collab,2,15-2
15A6F-N-T3-1x,15A6F,15,A6,F,N,T3,1,MK7,UNKNOWN,35.44351,P1004,CDC_collab,2,15-2
15A6F-N-T5-1x,15A6F,15,A6,F,N,T5,1,MK5,UNKNOWN,24.49526,P1004,CDC_collab,2,15-2
15A6F-N-T5-1x,15A6F,15,A6,F,N,T5,1,MK5,UNKNOWN,24.51828,P1004,CDC_collab,2,15-2
15A6F-N-T5-1x,15A6F,15,A6,F,N,T5,1,MK7,UNKNOWN,23.76656,P1004,CDC_collab,2,15-2
15A6F-N-T5-1x,15A6F,15,A6,F,N,T5,1,MK7,UNKNOWN,23.72616,P1004,CDC_collab,2,15-2
15A6F-Y-T0-1x,15A6F,15,A6,F,Y,T0,1,MK5,UNKNOWN,25.14777,P1004,CDC_collab,2,15-2
15A6F-Y-T0-1x,15A6F,15,A6,F,Y,T0,1,MK5,UNKNOWN,25.08953,P1004,CDC_collab,2,15-2
15A6F-Y-T0-1x,15A6F,15,A6,F,Y,T0,1,MK7,UNKNOWN,24.53285,P1004,CDC_collab,2,15-2
15A6F-Y-T0-1x,15A6F,15,A6,F,Y,T0,1,MK7,UNKNOWN,24.33139,P1004,CDC_collab,2,15-2
15A6F-Y-T1-1x,15A6F,15,A6,F,Y,T1,1,MK5,UNKNOWN,24.14048,P1004,CDC_collab,2,15-2
15A6F-Y-T1-1x,15A6F,15,A6,F,Y,T1,1,MK5,UNKNOWN,23.96134,P1004,CDC_collab,2,15-2
15A6F-Y-T1-1x,15A6F,15,A6,F,Y,T1,1,MK7,UNKNOWN,23.2116,P1004,CDC_collab,2,15-2
15A6F-Y-T1-1x,15A6F,15,A6,F,Y,T1,1,MK7,UNKNOWN,23.39807,P1004,CDC_collab,2,15-2
15A6F-Y-T3-1x,15A6F,15,A6,F,Y,T3,1,MK5,UNKNOWN,24.83783,P1004,CDC_collab,2,15-2
15A6F-Y-T3-1x,15A6F,15,A6,F,Y,T3,1,MK5,UNKNOWN,24.97189,P1004,CDC_collab,2,15-2
